Id_produktua,Izena,Deskribapena,Prezioa,Stocka,Kategoria,Irudia,Sortze_data
1,"Fjallraven - Foldsack No. 1 Backpack","Eguneroko erabilerarako eta basoan paseatzeko polita den motxila.",109.95,50,"Motxilak","https://fakestoreapi.com/img/81fPKd-2AYL._AC_SL1500_.jpg",2026-02-10
2,"Mens Casual Premium Slim Fit T-Shirts","Estilo estu eta kontrasteko manga luzeko kamiseta.",22.30,80,2"Arropa","https://fakestoreapi.com/img/71-3HjGNDUL._AC_UL640_QL65_ML3_.jpg",026-02-10
3,"Mens Cotton Jacket","Kanpoko jaka bikaina negurako.",55.99,65,2026-02-10,"Arropa","https://fakestoreapi.com/img/71li-ujtlUL._AC_UX679_.jpg"
4,"Mens Casual Slim Fit","Kolorea pantailan eta errealitatean pixka bat desberdina izan daiteke.",15.99,120,"Arropa","https://fakestoreapi.com/img/71YXzeOuslL._AC_UY879_.jpg",2026-02-10
5,"John Hardy Womens Legends Naga Gold & Silver Bracelet","Gure Legends bildumatik, mitologiaren inspirazioarekin.",695.00,15,"Eskarmentuak","https://fakestoreapi.com/img/71pWzhdJNwL._AC_UL640_QL65_ML3_.jpg",2026-02-10
6,"Solid Gold Petite Micropave","Bermearekin. Edozein eskaera 30 egunetan itzuli edo trukatu daiteke.",168.00,30,"Eskarmentuak","https://fakestoreapi.com/img/61sbMiUnoGL._AC_UL640_QL65_ML3_.jpg",2026-02-10
7,"White Gold Plated Princess","Beterano klasikoen ezkontza eta konpromiso sorta sortua.",9.99,200,"Eskarmentuak","https://fakestoreapi.com/img/71YAIFU48IL._AC_UL640_QL65_ML3_.jpg",2026-02-10
8,"Pierced Owl Rose Gold Plated Stainless Steel Double","Oilo oreka bikoitza, Rose Gold estaldura duen betaurreko plug.",10.99,150,"Eskarmentuak","https://fakestoreapi.com/img/51UDEzMJVpL._AC_UL640_QL65_ML3_.jpg",2026-02-10
9,"WD 2TB Elements Portable External Hard Drive","USB 3.0 eta USB 2.0 bateragarritasuna.",64.00,40,"Teknologia","https://fakestoreapi.com/img/61IBBVJvSDL._AC_SY879_.jpg",2026-02-10
10,"SanDisk SSD PLUS 1TB Internal SSD - SATA III 6 Gb/s","Zure PC-ren errendimendua hobetzen duen SSD berritzea.",109.00,55,"Teknologia","https://fakestoreapi.com/img/61U7T1koQqL._AC_SX679_.jpg",2026-02-10
11,"Silicon Power 256GB SSD 3D NAND A55","3D NAND flash-ek errendimendu bikaina eskaintzen du.",109.00,70,"Teknologia","https://fakestoreapi.com/img/71kWymZ+c+L._AC_SX679_.jpg",2026-02-10
12,"AC 123 54.6\" TV","Zure egongelako 4K telebista handia.",599.99,25,"Elektronika","https://fakestoreapi.com/img/81Zt42ioCgL._AC_SX679_.jpg",2026-02-10
13,"Samsung 49-Inch CHG90 144Hz Curved Gaming Monitor","Pantaila super zabala jolasteko.",999.99,10,"Elektronika","https://fakestoreapi.com/img/81Zt42ioCgL._AC_SX679_.jpg",2026-02-10
